,Date,Actual_Price,Predicted_Price,Actual_Direction,Predicted_Direction,Direction_Match,Actual_Direction_Text,Predicted_Direction_Text
0,2024-03-05,169.32049560546875,171.02886030089394,0.0,0.0,True,Neutral,Neutral
1,2024-03-06,168.32518005371094,166.79020467350028,-1.0,-1.0,True,Down,Down
2,2024-03-07,168.20574951171875,167.009805524508,-1.0,1.0,False,Down,Up
3,2024-03-08,169.92762756347656,165.07155861215642,1.0,-1.0,False,Up,Down
4,2024-03-11,171.93814086914062,168.34389743689007,1.0,1.0,True,Up,Up
5,2024-03-12,172.41587829589844,172.09739773810952,1.0,1.0,True,Up,Up
6,2024-03-13,170.3257598876953,172.11986314260685,-1.0,1.0,False,Down,Up
7,2024-03-14,172.1869659423828,170.29729175476723,1.0,-1.0,False,Up,Down
8,2024-03-15,171.80873107910156,172.60214484522476,-1.0,1.0,False,Down,Up
9,2024-03-18,172.90357971191406,170.27620228019305,1.0,-1.0,False,Up,Down
10,2024-03-19,175.2524871826172,172.50245689583744,1.0,1.0,True,Up,Up
11,2024-03-20,177.83030700683594,173.96822408422713,1.0,1.0,True,Up,Up
12,2024-03-21,170.56460571289062,176.40666414093948,-1.0,1.0,False,Down,Up
13,2024-03-22,171.47035217285156,169.9896557414204,1.0,-1.0,False,Up,Down
14,2024-03-25,170.0470733642578,171.06828739019602,-1.0,1.0,False,Down,Up
15,2024-03-26,168.9124298095703,169.0013484127321,-1.0,-1.0,True,Down,Down
16,2024-03-27,172.49551391601562,167.0860296069759,1.0,-1.0,False,Up,Down
17,2024-03-28,170.67410278320312,171.1715186635447,-1.0,1.0,False,Down,Up
18,2024-04-01,169.2309112548828,168.58212813552973,-1.0,-1.0,True,Down,Down
19,2024-04-02,168.04649353027344,167.1692429263985,-1.0,-1.0,True,Down,Down
20,2024-04-03,168.85269165039062,166.39292621684217,1.0,-1.0,False,Up,Down
21,2024-04-04,168.026611328125,169.04246801760337,-1.0,1.0,False,Down,Up
22,2024-04-05,168.78302001953125,168.09325901620014,1.0,-1.0,False,Up,Down
23,2024-04-08,167.65834045410156,169.87424809707045,-1.0,1.0,False,Down,Up
24,2024-04-09,168.87261962890625,167.89661062452979,1.0,-1.0,False,Up,Down
25,2024-04-10,166.9915008544922,170.48172724632332,-1.0,1.0,False,Down,Up
26,2024-04-11,174.2173614501953,167.3498550374602,1.0,-1.0,False,Up,Down
27,2024-04-12,175.7202911376953,175.99272840875165,1.0,1.0,True,Up,Up
28,2024-04-15,171.87840270996094,175.4105517584394,-1.0,-1.0,True,Down,Down
29,2024-04-16,168.58399963378906,172.73238330945424,-1.0,-1.0,True,Down,Down
30,2024-04-17,167.21046447753906,169.9625511395716,-1.0,-1.0,True,Down,Down
31,2024-04-18,166.2549591064453,168.5469749524491,-1.0,-1.0,True,Down,Down
32,2024-04-19,164.2245635986328,165.3523944329295,-1.0,-1.0,True,Down,Down
33,2024-04-22,165.06060791015625,162.45096004526522,1.0,-1.0,False,Up,Down
34,2024-04-23,166.11563110351562,165.65162875028545,1.0,1.0,True,Up,Up
35,2024-04-24,168.22567749023438,166.78390948969263,1.0,1.0,True,Up,Up
36,2024-04-25,169.09158325195312,170.37957966999375,1.0,1.0,True,Up,Up
37,2024-04-26,168.5043487548828,171.27664945076958,-1.0,1.0,False,Down,Up
38,2024-04-29,172.68460083007812,170.42532629584548,1.0,-1.0,False,Up,Down
39,2024-04-30,169.5294952392578,175.83139149298495,-1.0,1.0,False,Down,Up
40,2024-05-01,168.5043487548828,170.96151279288597,-1.0,-1.0,True,Down,Down
41,2024-05-02,172.21682739257812,170.85685688413014,1.0,-1.0,False,Up,Down
42,2024-05-03,182.51817321777344,173.15685160255816,1.0,1.0,True,Up,Up
43,2024-05-06,180.8560333251953,186.4870068144137,-1.0,1.0,False,Down,Up
44,2024-05-07,181.5427703857422,180.85808967520916,1.0,-1.0,False,Up,Down
45,2024-05-08,181.88119506835938,182.27191246490747,1.0,1.0,True,Up,Up
46,2024-05-09,183.7025909423828,182.412232964326,1.0,1.0,True,Up,Up
47,2024-05-10,182.43685913085938,183.29134259787497,-1.0,1.0,False,Down,Up
48,2024-05-13,185.65602111816406,180.37191153387084,1.0,-1.0,False,Up,Down
49,2024-05-14,186.80215454101562,183.17586189529902,1.0,1.0,True,Up,Up
50,2024-05-15,189.0845184326172,184.56211738105048,1.0,1.0,True,Up,Up
51,2024-05-16,189.2041015625,186.90597138782505,1.0,1.0,True,Up,Up
52,2024-05-17,189.23399353027344,187.39098059754724,1.0,1.0,True,Up,Up
53,2024-05-20,190.40008544921875,188.26198076800938,1.0,1.0,True,Up,Up
54,2024-05-21,191.70570373535156,188.6565438939342,1.0,1.0,True,Up,Up
55,2024-05-22,190.2605438232422,189.57593296275536,-1.0,1.0,False,Down,Up
56,2024-05-23,186.2540283203125,189.28236065791498,-1.0,-1.0,True,Down,Down
57,2024-05-24,189.3436279296875,187.53315190535795,1.0,-1.0,False,Up,Down
58,2024-05-28,189.3535919189453,190.52359556504143,1.0,1.0,True,Up,Up
59,2024-05-29,189.65260314941406,190.1552603422533,1.0,-1.0,False,Up,Down
60,2024-05-30,190.6492462158203,189.39713513097286,1.0,-1.0,False,Up,Down
61,2024-05-31,191.6060333251953,189.7686118574793,1.0,1.0,True,Up,Up
62,2024-06-03,193.38006591796875,189.48770297848023,1.0,-1.0,False,Up,Down
63,2024-06-04,193.69898986816406,192.52955527653103,1.0,1.0,True,Up,Up
64,2024-06-05,195.21389770507812,192.33276076840866,1.0,-1.0,False,Up,Down
65,2024-06-06,193.82855224609375,194.64182688323262,-1.0,1.0,False,Down,Up
66,2024-06-07,196.23048400878906,194.4395651845307,1.0,-1.0,False,Up,Down
67,2024-06-10,192.4730987548828,194.89160078158147,-1.0,1.0,False,Down,Up
68,2024-06-11,206.45611572265625,190.9850556732472,1.0,-1.0,False,Up,Down
69,2024-06-12,212.35630798339844,202.75802350323556,1.0,1.0,True,Up,Up
70,2024-06-13,213.52236938476562,208.32868888357007,1.0,1.0,True,Up,Up
71,2024-06-14,211.77822875976562,210.34996646977925,-1.0,1.0,False,Down,Up
72,2024-06-17,215.94422912597656,209.0470217144184,1.0,-1.0,False,Up,Down
73,2024-06-18,213.5721893310547,213.43923355650895,-1.0,1.0,False,Down,Up
74,2024-06-20,208.97763061523435,209.59220654962883,-1.0,-1.0,True,Down,Down
75,2024-06-21,206.7949981689453,205.42206736185926,-1.0,-1.0,True,Down,Down
76,2024-06-24,207.44281005859372,202.395021530946,1.0,-1.0,False,Up,Down
77,2024-06-25,208.36968994140625,206.68519538404598,1.0,1.0,True,Up,Up
78,2024-06-26,212.5356903076172,207.72001644995908,1.0,1.0,True,Up,Up
79,2024-06-27,213.38285827636716,210.9571777388701,1.0,1.0,True,Up,Up
80,2024-06-28,209.91448974609375,212.05044538558923,-1.0,1.0,False,Down,Up
81,2024-07-01,216.02395629882812,209.20017610887226,1.0,-1.0,False,Up,Down
82,2024-07-02,219.5321807861328,214.6582100574451,1.0,1.0,True,Up,Up
83,2024-07-03,220.80789184570315,216.53746245229559,1.0,1.0,True,Up,Up
84,2024-07-05,225.58183288574222,217.20947636785513,1.0,1.0,True,Up,Up
85,2024-07-08,227.05688476562497,221.01568817913903,1.0,1.0,True,Up,Up
86,2024-07-09,227.9139862060547,222.92995981698914,1.0,1.0,True,Up,Up
87,2024-07-10,232.19960021972656,223.8814214470276,1.0,1.0,True,Up,Up
88,2024-07-11,226.8077239990234,227.46083617204204,-1.0,1.0,False,Down,Up
89,2024-07-12,229.76776123046875,223.11873009662168,1.0,-1.0,False,Up,Down
90,2024-07-15,233.6148376464844,226.4024172991285,1.0,1.0,True,Up,Up
91,2024-07-16,234.03343200683594,229.91150130523965,1.0,1.0,True,Up,Up
92,2024-07-17,228.1133270263672,229.67055527586672,-1.0,-1.0,True,Down,Down
93,2024-07-18,223.42906188964847,224.078520364425,-1.0,-1.0,True,Down,Down
94,2024-07-19,223.55863952636722,222.0705515517202,1.0,-1.0,False,Up,Down
95,2024-07-22,223.20980834960938,222.90913822257698,-1.0,1.0,False,Down,Up
96,2024-07-23,224.2563018798828,222.0675805171959,1.0,-1.0,False,Up,Down
97,2024-07-24,217.80795288085938,222.41139252878747,-1.0,1.0,False,Down,Up
98,2024-07-25,216.76148986816406,216.25713803910458,-1.0,-1.0,True,Down,Down
99,2024-07-26,217.22990417480472,215.39399162793825,1.0,-1.0,False,Up,Down
100,2024-07-29,217.50897216796875,215.43101997215308,1.0,1.0,True,Up,Up
101,2024-07-30,218.06710815429688,214.30665387389672,1.0,-1.0,False,Up,Down
102,2024-07-31,221.33610534667972,213.9488390356537,1.0,-1.0,False,Up,Down
103,2024-08-01,217.62855529785156,217.42149133972907,-1.0,1.0,False,Down,Up
104,2024-08-02,219.12355041503906,212.97226972861063,1.0,-1.0,False,Up,Down
